id,name,area,party,age,gender,www,scorex,scorey
50,Merja Vahter,Häme,KOK,61,FEMALE,http://www.merjavahter.fi,1.199668686,0.13820198
51,Ilkka Viljanen,Häme,KOK,54,MALE,http://www.ilkkaviljanen.fi,1.768628399,-0.209834679
52,Kimmo Koljonen,Häme,M11,33,MALE,http://koljkimm.blogspot.fi/,0.009562872,0.953677738
54,Anita Saarinen,Häme,M11,44,FEMALE,http://anitaekv2015.blogspot.fi/,-0.451125204,1.436733223
