name,district,votenumber,party,age,occupation,education,page,oik,nat,lib,segment
Eve Rämö,02 Uudenmaan vaalipiiri,120,Vihreä liitto,31,lastensuojelun perhetyöntekijä,korkeakoulututkinto ,http://henkilot.vihreat.fi/eve.ramo/,-0.1893349465,-1.3607016521,1.0135920516,Liberaalit
Liisa Virtanen,13 Lapin vaalipiiri,119,Vihreä liitto,44,Terveyskeskuslääkäri,korkeakoulututkinto ,,-0.1884017304,-1.0352384514,0.0231969232,Liberaalit
Sirpa Siru Kauppinen,02 Uudenmaan vaalipiiri,102,Vihreä liitto,42,Ympäristötekniikan M.Sc.,korkeakoulututkinto ,http://www.sirpakauppinen.fi,-0.1793205976,-1.3383090999,0.9746374431,Liberaalit
Jorma Kuistio,13 Lapin vaalipiiri,114,Vihreä liitto,52,erityisluokanopettaja,korkeakoulututkinto ,http://kuistiojorma.puheenvuoro.uusisuomi.fi/kayttaja/kuistiojorma,-0.1768726441,-0.89625063,0.5197245592,Liberaalit
Olli-Poika Parviainen,07 Pirkanmaan vaalipiiri,164,Vihreä liitto,34,Apulaispormestari & Tampereen kaupungin osaamis- & elinkeino- ja sivistyspalvelut.,korkeakoulututkinto ,http://www.ollipoikaparviainen.fi,-0.1746110093,-0.8490506119,1.1999026326,Liberaalit
Eeva Lahtinen,02 Uudenmaan vaalipiiri,107,Vihreä liitto,32,Laboratorioanalyytikko,korkeakoulututkinto ,http://eevalahtinen.fi/,-0.1470870549,-1.0257264897,0.7470225212,Liberaalit
Tuomo Liljenbäck,03 Varsinais-Suomen vaalipiiri,120,Vihreä liitto,33,opiskelija,ylioppilas ,http://www.tuomoliljenback.net/,-0.1422770999,-1.0824868974,1.6754766264,Liberaalit
Eero Yrjö-Koskinen,06 Hämeen vaalipiiri,62,Vihreä liitto,52,Toiminnanjohtaja,korkeakoulututkinto ,http://www.yrjo-koskinen.fi,-0.1406604493,-0.8043252205,0.2950483913,Maltillinen vasemmisto
Touko Aalto,11 Keski-Suomen vaalipiiri,16,Vihreä liitto,30,Kansanedustajan avustaja,korkeakoulututkinto ,http://www.toukoaalto.fi,-0.1265544841,-0.9053891147,1.5080397418,Liberaalit
Liisa Pietikäinen,09 Savo-Karjalan vaalipiiri,29,Vihreä liitto,38,Asiantuntija,korkeakoulututkinto ,http://www.liisapietikainen.fi/,-0.122775367,-0.6388961649,0.4392099246,Liberaalit
Johanna Karimäki,02 Uudenmaan vaalipiiri,100,Vihreä liitto,42,kansanedustaja,korkeakoulututkinto ,http://www.johannakarimaki.fi,-0.1226245007,-0.477247349,-0.2070982478,Konservatiivit
Aku Kopakkala,02 Uudenmaan vaalipiiri,103,Vihreä liitto,57,psykologi,korkeakoulututkinto ,http://akukopakkala.fi,-0.1090518686,-0.9901503624,0.8656274971,Liberaalit
Maria Vuorelma,01 Helsingin vaalipiiri,88,Vihreä liitto,32,ylitarkastaja,korkeakoulututkinto ,http://www.mariavuorelma.fi,-0.1070100335,-1.3885399599,0.9651205561,Liberaalit
Helena Särkijärvi,03 Varsinais-Suomen vaalipiiri,129,Vihreä liitto,41,FM & ympäristöalan opettaja,korkeakoulututkinto ,http://www.helenasarkijarvi.fi,-0.0969663298,-0.6154262835,-0.5050754941,Konservatiivit
Meri Lumela,11 Keski-Suomen vaalipiiri,20,Vihreä liitto,50,Peruskoulun rehtori,korkeakoulututkinto ,http://www.merilumela.fi,-0.0784677351,-0.804104527,0.5987248948,Liberaalit
Petri Vallinsalo,04 Satakunnan vaalipiiri,108,Vihreä liitto,50,rakennusinsinööri,,http://satakunnanvihreat.net/ehdokkaat/petrivallinsalo/,-0.074336397,-0.4505676876,-0.0619309341,Konservatiivit
Marketta Mattila,02 Uudenmaan vaalipiiri,112,Vihreä liitto,58,toimittaja & tuottaja,korkeakoulututkinto ,http://markettamattila.fi,-0.0620240354,-1.2498676005,0.9432121263,Liberaalit
Samu Forsblom,12 Oulun vaalipiiri,11,Vihreä liitto,40,Luova johtaja,korkeakoulututkinto ,http://www.samuforsblom.fi,-0.0533547214,-0.3622466615,0.3870538055,Liberaalit
Kati Kaarlejärvi,12 Oulun vaalipiiri,14,Vihreä liitto,37,Projektipäällikkö,korkeakoulututkinto ,http://www.kaarlejarvi.com,-0.0494419743,-0.8158705337,0.78310224,Liberaalit
Oskari Sundström,02 Uudenmaan vaalipiiri,122,Vihreä liitto,34,Yrittäjä,ylioppilas ,http://www.oskarisundstrom.fi,-0.0480613739,-1.3988854872,1.4254541901,Liberaalit
Saara Hyrkkö,02 Uudenmaan vaalipiiri,97,Vihreä liitto,27,diplomityöntekijä & kaupunginhallituksen jäsen,korkeakoulututkinto ,http://www.saarahyrkko.fi,-0.046339042,-1.0781228681,1.4657878726,Liberaalit
Kirsi Ojansuu-Kaunisto,06 Hämeen vaalipiiri,57,Vihreä liitto,51,kasvatustieteen maisteri & teologian ylioppilas,korkeakoulututkinto ,http://www.kirsiojansuu-kaunisto.fi,-0.0326869115,-1.4180821063,0.2320547929,Liberaalit
Niko Porjo,03 Varsinais-Suomen vaalipiiri,123,Vihreä liitto,42,Fyysikko,korkeakoulututkinto ,http://nikoporjo.blogspot.fi/,-0.0300753492,-1.3749623063,1.5392321407,Liberaalit
