name,district,votenumber,party,age,occupation,education,page,oik,nat,lib,segment
Jan Erik Finskas,02 Uudenmaan vaalipiiri,328,Itsenäisyyspuolue,46,Myyntiedustaja,ammattitutkinto ,https://www.facebook.com/JanFinskasPolitiikka,-1.5824847006,0.3798349293,0.5967938752,Vasemmistoliberaalit
Pasi Hentunen,03 Varsinais-Suomen vaalipiiri,107,Itsenäisyyspuolue,55,Varastotyöntekijä,korkeakoulututkinto ,,-1.5394806814,0.415767714,0.6066178404,Vasemmistoliberaalit
Mauri Nygård,02 Uudenmaan vaalipiiri,334,Itsenäisyyspuolue,73,Puolueen varapuheenjohtaja & ent maakuntajohtaja & kunnanjohtaja & tutkija & yhdyskuntasuunnittelija & kehitysmaamaantieteen assistentti & Ylen kameramies,korkeakoulututkinto ,http://www.toisinajattelija.fi,-1.4306477185,1.0872124499,0.675026638,Vasemmistoliberaalit
Anssi Lehtineva,01 Helsingin vaalipiiri,188,Itsenäisyyspuolue,25,Personal trainerin koulutus,ammattitutkinto ,http://anssilehtineva.com/,-1.425418166,1.7210959543,1.5593959744,Vasemmistoliberaalit
Hannu Hanski Ikonen,02 Uudenmaan vaalipiiri,353,Itsenäisyyspuolue,61,operaattori,joku muu,http://www.porvoo2009.org/,-1.4112376839,0.1824824119,1.1169766467,Vasemmistoliberaalit
Matti Nevalainen,13 Lapin vaalipiiri,94,Itsenäisyyspuolue,40,Insinööri,korkeakoulututkinto ,,-1.3803547975,0.2916016771,0.9502428487,Vasemmistoliberaalit
Ilpo Iso-Peura,02 Uudenmaan vaalipiiri,338,Itsenäisyyspuolue,63,Valokuvataiteilija / sähköasentaja,,https://www.youtube.com/watch?v=gaOXyPD3YwM,-1.3567865837,1.2402417443,0.796423848,Vasemmistoliberaalit
Jouni Suonsivu,07 Pirkanmaan vaalipiiri,75,Itsenäisyyspuolue,54,free lance -kääntäjä ja tuntiopettaja,joku muu,http://fazerinsini.puheenvuoro.uusisuomi.fi,-1.2543652028,0.9070866729,0.3331809967,Vasemmistoliberaalit
Stefan Holm,02 Uudenmaan vaalipiiri,340,Itsenäisyyspuolue,26,opiskelija,ylioppilas ,http://www.stefanholm.fi/,-1.2510215581,1.1110946033,0.1353820135,Nationalistikonservatiivit
Kirsi Helin,01 Helsingin vaalipiiri,181,Itsenäisyyspuolue,42,NLP-ohjaaja & sihteeri.,ylioppilas ,https://facebook.com/vaaliehdokashelin,-1.2479716722,0.1445819243,0.9216246653,Vasemmistoliberaalit
Kalle Virtanen,04 Satakunnan vaalipiiri,86,Itsenäisyyspuolue,48,Muusikko,,https://www.facebook.com/kalle.virtanen.7,-1.2352449522,-0.0913676745,1.074184339,Vasemmistoliberaalit
Päivi Eskola,03 Varsinais-Suomen vaalipiiri,106,Itsenäisyyspuolue,71,VTK & vaihtoehtohoitaja & gemmologi & Reiki Master & hierontaterapeutti & intialainen päänhieronta & somistaja jne,,https://www.facebook.com/paivi.k.eskola,-1.1911502737,1.0036681339,1.468063721,Vasemmistoliberaalit
Sami Parkkonen,02 Uudenmaan vaalipiiri,332,Itsenäisyyspuolue,50,Kirjailija/kirjoittaja,korkeakoulututkinto ,http://www.supportsande.fi,-1.1786530389,0.7781430307,0.8920580609,Vasemmistoliberaalit
Sinikka Tyynelä,11 Keski-Suomen vaalipiiri,124,Itsenäisyyspuolue,63,yhteiskuntatieteiden kandidaatti,korkeakoulututkinto ,http://sinikkatyynela.blogspot.fi/,-1.1275466241,0.1808501538,0.8841143163,Vasemmistoliberaalit
Erkki Ketola,04 Satakunnan vaalipiiri,78,Itsenäisyyspuolue,61,linja-autonkuljettaja,ammattitutkinto ,,-1.1258718209,1.1986690976,1.0626138142,Nationalistikonservatiivit
Antti Pesonen,10 Vaasan vaalipiiri,115,Itsenäisyyspuolue,51,yrittäjä,ylioppilas ,http://www.anttipesonen.fi,-1.119169694,0.5804313939,0.9066638326,Vasemmistoliberaalit
Mira Zarrouk,02 Uudenmaan vaalipiiri,342,Itsenäisyyspuolue,39,sovittelija,,,-1.0818714568,0.0292350254,0.7900550399,Maltillinen vasemmisto
Lena Wiksten,04 Satakunnan vaalipiiri,85,Itsenäisyyspuolue,60,Valtiotieteen maisteri & kielikouluttuja,,http://lenawiksten.fi,-1.0816085444,-0.0947583221,0.6614933622,Vasemmistoliberaalit
Helge Aspholm,06 Hämeen vaalipiiri,95,Itsenäisyyspuolue,61,pinnoittaja,ammattitutkinto ,,-1.0567517722,1.4473600719,0.9307906963,Nationalistikonservatiivit
Erkki korhonen,12 Oulun vaalipiiri,161,Itsenäisyyspuolue,36,laulaja & lauluntekijä,,https://www.facebook.com/pages/Erkki-Korhonen/434209443397867?ref=hl,-1.0410137371,0.8400229449,1.4056773036,Vasemmistoliberaalit
Samppa Turunen,02 Uudenmaan vaalipiiri,351,Itsenäisyyspuolue,36,opiskelija,peruskoulu ,,-1.0289170841,1.6355591395,1.3667897379,Nationalistikonservatiivit
Raimo Kivipuro,10 Vaasan vaalipiiri,111,Itsenäisyyspuolue,61,rakennusinsinööri. laskentapäällikkö,ammattitutkinto ,,-1.0278740805,0.405894159,0.2664577666,Maltillinen vasemmisto
Antti Kukkonen,02 Uudenmaan vaalipiiri,341,Itsenäisyyspuolue,39,Aineenopettaja (FM & VTM),korkeakoulututkinto ,http://anttikukkonen.puheenvuoro.uusisuomi.fi/kayttaja/anttikukkonen,-1.0155320682,0.0829701613,0.254964171,Vasemmistoliberaalit
Antero Kangas,12 Oulun vaalipiiri,160,Itsenäisyyspuolue,61,yo-kauppateknikko & opintoasiainsihteeri,ylioppilas ,http://www.anterokangas.fi,-0.9885540354,1.9949604547,0.9081823002,Nationalistikonservatiivit
Timo Repo,09 Savo-Karjalan vaalipiiri,104,Itsenäisyyspuolue,27,Lähihoitaja,ammattitutkinto ,http://timorepo.puheenvuoro.uusisuomi.fi/kayttaja/timorepo,-0.9816571678,0.4496524186,1.0750760486,Vasemmistoliberaalit
Tauno Vornanen,10 Vaasan vaalipiiri,120,Itsenäisyyspuolue,60,eläkeläinen,,,-0.9787914647,1.3058606246,-0.3964246187,Nationalistikonservatiivit
Akseli Erkkilä,13 Lapin vaalipiiri,92,Itsenäisyyspuolue,23,Päätoiminen opiskelija.,ylioppilas ,http://akselierkkila.fi/,-0.9387723016,1.6270516725,0.6942316692,Nationalistikonservatiivit
Jari Ahlfors,03 Varsinais-Suomen vaalipiiri,104,Itsenäisyyspuolue,36,Maanrakentaja  & Aktivisti,ammattitutkinto ,https://fi-fi.facebook.com/jari.ahlfors,-0.9144963643,0.4508182965,0.7483187934,Maltillinen vasemmisto
Johnny Loikkanen,02 Uudenmaan vaalipiiri,345,Itsenäisyyspuolue,38,myyntijohtaja & yrittäjä,,https://www.facebook.com/pages/Tilannesysteemi,-0.9144225446,0.5523698552,1.268473578,Vasemmistoliberaalit
Kai-Tom Koivunen,03 Varsinais-Suomen vaalipiiri,111,Itsenäisyyspuolue,46,yrittäjä & puuseppä,ammattitutkinto ,http://www.ipu.fi,-0.8397274717,1.7477899094,0.2854920566,Nationalistikonservatiivit
Hilkka Laikko,03 Varsinais-Suomen vaalipiiri,112,Itsenäisyyspuolue,56,Markkinointikonsultti,ammattitutkinto ,https://www.facebook.com/hilkka.laikko,-0.8040060584,1.0491705959,0.580645258,Nationalistikonservatiivit
Alice Töyrylä,02 Uudenmaan vaalipiiri,339,Itsenäisyyspuolue,53,Sairaanhoitaja (AMK) Sosiaali- ja terveysalan ammattikorkeakoulututkinto,,,-0.7791533055,0.8431402673,0.6042452545,Nationalistikonservatiivit
Jorma Luotonen,01 Helsingin vaalipiiri,190,Itsenäisyyspuolue,69,linja-auton kuljettaja,ammattitutkinto ,http://www.joren.fi,-0.7755127958,0.9856583119,0.452353515,Nationalistikonservatiivit
Marjatta Herrala,04 Satakunnan vaalipiiri,77,Itsenäisyyspuolue,66,filosofian maisteri & matematiikan opettaja,,http://www.ipu.fi,-0.7434815925,-0.2488328048,0.0477918419,Maltillinen vasemmisto
Juha Ilari Hämäläinen,03 Varsinais-Suomen vaalipiiri,110,Itsenäisyyspuolue,44,uutisleikkaaja & vapaa kirjoittaja,,https://findianajones2015.wordpress.com/etusivu/,-0.7381576331,-0.0653745957,1.3337053495,Vasemmistoliberaalit
Liisa  Kylänpää,09 Savo-Karjalan vaalipiiri,101,Itsenäisyyspuolue,65,Freelancer,ammattitutkinto ,,-0.7258430745,0.749017718,1.424971607,Nationalistikonservatiivit
Jussi Järvinen,08 Kaakkois-Suomen vaalipiiri,127,Itsenäisyyspuolue,47,muusikko & taiteellinen johtaja,,,-0.6891108473,0.3265584447,1.2776257492,Vasemmistoliberaalit
Susan Virkkala,01 Helsingin vaalipiiri,199,Itsenäisyyspuolue,41,Promootiopäällikkö / Kansainväliset vesiurheilutapahtumat,joku muu,http://susanvirkkala.wordpress.com,-0.6872100218,0.0714571168,0.7862934243,Vasemmistoliberaalit
Timo Hirvonen,08 Kaakkois-Suomen vaalipiiri,126,Itsenäisyyspuolue,64,Toimittaja,ylioppilas ,http://www.ipu-kaakkoissuomi.com/timo,-0.6510225329,1.2199831445,-0.1602979332,Nationalistikonservatiivit
Timo Sotikoff,01 Helsingin vaalipiiri,196,Itsenäisyyspuolue,34,Tuotepäällikkö,korkeakoulututkinto ,https://www.facebook.com/eduskuntavaaliehdokasTimoSotikoff?fref=ts,-0.5970186556,0.488767403,0.914396791,Maltillinen vasemmisto
Marko Kivelä,12 Oulun vaalipiiri,165,Itsenäisyyspuolue,36,lähihoitaja,ylioppilas ,,-0.5829676058,1.384261028,1.2833813745,Nationalistikonservatiivit
Riikka Söyring,01 Helsingin vaalipiiri,197,Itsenäisyyspuolue,50,kirjoittaja,ammattitutkinto ,http://riikkasoyring.puheenvuoro.uusisuomi.fi/,-0.5781840895,0.007682455,1.2595685345,Liberaalit
Tuukka Lampela,12 Oulun vaalipiiri,162,Itsenäisyyspuolue,27,Linja-autonkuljettaja,ylioppilas ,https://tuukkalampela.wordpress.com/,-0.5634199487,-0.3199509551,1.2804208053,Liberaalit
Hannu Harri,13 Lapin vaalipiiri,93,Itsenäisyyspuolue,23,Kokki,ammattitutkinto ,https://onkomeillatoivoa.wordpress.com,-0.5578004391,0.8526327495,1.3950303396,Nationalistikonservatiivit
Pekka Valkonen,11 Keski-Suomen vaalipiiri,126,Itsenäisyyspuolue,59,merkonomi,ammattitutkinto ,,-0.5452399099,0.3489001943,-0.5410397688,Konservatiivit
Eija-Liisa Kiviharju-Ketola,10 Vaasan vaalipiiri,110,Itsenäisyyspuolue,57,Ekstraaja ja sovittelija,joku muu,http://eijakiviharju.blogspot.fi,-0.5309155766,-0.6880888234,1.0252896441,Vasemmistoliberaalit
pasi korhonen,08 Kaakkois-Suomen vaalipiiri,129,Itsenäisyyspuolue,42,kylmä- ja lvi asentaja,ammattitutkinto ,,-0.5186848911,1.149054101,1.8181241507,Nationalistikonservatiivit
Markku Seppälä,08 Kaakkois-Suomen vaalipiiri,124,Itsenäisyyspuolue,67,Vapaaehtoistoimija,joku muu,,-0.5040485325,0.8204558146,0.387236375,Nationalistikonservatiivit
Heikki Jukkola,12 Oulun vaalipiiri,166,Itsenäisyyspuolue,40,Liikennelentäjä,ammattitutkinto ,,-0.479311874,1.225038523,0.4886278405,Nationalistikonservatiivit
Petri Kauppinen,01 Helsingin vaalipiiri,185,Itsenäisyyspuolue,50,Autonkuljettaja / Ravintolatyöntekijä,peruskoulu ,https://www.facebook.com/profile.php?id=100009412142006,-0.4787353404,1.5505291314,-0.3549969219,Nationalistikonservatiivit
Ossi Rantonen,09 Savo-Karjalan vaalipiiri,105,Itsenäisyyspuolue,52,eläkeläinen,joku muu,,-0.4347882639,1.1938145399,0.0467672361,Nationalistikonservatiivit
Jarmo Tuokko,02 Uudenmaan vaalipiiri,330,Itsenäisyyspuolue,60,valtiotieteen maisteri & sosiaalipsykologi,korkeakoulututkinto ,http://jjtuokko.blogspot.fi/,-0.4019105719,0.8327091259,-0.2852383322,Nationalistikonservatiivit
Ilkka Luoma,01 Helsingin vaalipiiri,189,Itsenäisyyspuolue,57,Ympäristö - ja Kiina asiantuntija,ammattitutkinto ,http://fi-ilkkaluoma.blogspot.fi,-0.3861830212,0.76742926,0.297440401,Nationalistikonservatiivit
Linda Lyyra,06 Hämeen vaalipiiri,98,Itsenäisyyspuolue,63,sosionomi,korkeakoulututkinto ,,-0.3742323216,-0.1892679726,0.2053182637, 
Petteri Evilampi,04 Satakunnan vaalipiiri,76,Itsenäisyyspuolue,42,Elokuvaleikkaaja,,http://www.petterievilampi.fi,-0.2990186897,1.0497634261,1.0696441218,Nationalistikonservatiivit
Esa Lehto,08 Kaakkois-Suomen vaalipiiri,128,Itsenäisyyspuolue,47,linja-auton kuljettaja,joku muu,,-0.2588889589,1.8783465376,-0.014272566,Nationalistikonservatiivit
Veli-Pekka Kortelainen,12 Oulun vaalipiiri,163,Itsenäisyyspuolue,37,Erityisasiantuntija,korkeakoulututkinto ,http://www.fasebook.com/velipekka.kortelainen,-0.2271690517,1.4277207587,-0.629266959,Nationalistikonservatiivit
lasse soinila,10 Vaasan vaalipiiri,117,Itsenäisyyspuolue,44,asentaja,ammattitutkinto ,,-0.2263287726,0.8232897532,0.4256377646,Nationalistikonservatiivit
Jouko Miettinen,03 Varsinais-Suomen vaalipiiri,113,Itsenäisyyspuolue,62,Opetustehtäviä sijaistava Fk.,korkeakoulututkinto ,,-0.2092829473,-0.1575387582,-0.0340373761,Konservatiivit
Jarmo Nevalainen,03 Varsinais-Suomen vaalipiiri,114,Itsenäisyyspuolue,43,operaattori & puolueen varapuheenjohtaja,ammattitutkinto ,https://www.facebook.com/jarmo.nevalainen.5,-0.2069190666,1.0854356978,0.4205253885,Nationalistikonservatiivit
Maiju Kytösaho,08 Kaakkois-Suomen vaalipiiri,123,Itsenäisyyspuolue,38,Yrittäjä ja kotiäiti,ammattitutkinto ,http://ipu-kaakkoissuomi.com/maiju/,-0.1906392031,-0.0788882098,1.105023217,Liberaalit
Kristian Sheikki Laakso,08 Kaakkois-Suomen vaalipiiri,122,Itsenäisyyspuolue,46,yrittäjä & autonkuljettaja,ammattitutkinto ,http://www.sheikki.com,-0.189031619,0.9807840702,0.1132651297,Konservatiivit
Arto Hämäläinen,12 Oulun vaalipiiri,159,Itsenäisyyspuolue,34,Kuljetusyrittäjä 3:nessa polvessa,ammattitutkinto ,http://itsenaisyyspuolueenoulunpiirijarjesto.yhdistysavain.fi/new_page-211064/#token-215159,-0.1832023213,1.5448075381,1.7351211988,Nationalistikonservatiivit
Jukka Paakki,13 Lapin vaalipiiri,96,Itsenäisyyspuolue,43,yrittäjä,ammattitutkinto ,http://www.jukkapaakki.fi,-0.182621417,1.1164974905,0.130623317,Nationalistikonservatiivit
Riitta Tuutti-Kyrölä,06 Hämeen vaalipiiri,102,Itsenäisyyspuolue,67,eläkeläinen &yrittåjå,ammattitutkinto ,http://www.kinoriitta.fi,-0.1758673718,0.7163783946,0.1733424175,Nationalistikonservatiivit
Juha Ruohisto,06 Hämeen vaalipiiri,100,Itsenäisyyspuolue,39,Tradenomi,korkeakoulututkinto ,https://www.facebook.com/Juha.O.Ruohisto,-0.1554688536,1.3864288337,0.7272502755, 
Erkki Seppänen,07 Pirkanmaan vaalipiiri,74,Itsenäisyyspuolue,35,kouluttaja & muusikko,korkeakoulututkinto ,http://erkkiseppnen.vapaavuoro.uusisuomi.fi,-0.1114940009,1.2803722904,1.6804098751,Nationalistikonservatiivit
Petri Montonen,09 Savo-Karjalan vaalipiiri,106,Itsenäisyyspuolue,45,Autonkuljettaja,peruskoulu ,http://www.facebook.com/petri.montonen.71,-0.100435358,2.0918003245,0.7178989142,Nationalistikonservatiivit
Karla Vainio,01 Helsingin vaalipiiri,198,Itsenäisyyspuolue,55,taloussihteeri,,,-0.0814374715,0.9133736699,0.2776004463,Nationalistikonservatiivit
Pasi Ronkainen,02 Uudenmaan vaalipiiri,335,Itsenäisyyspuolue,51,Yrittäjä,joku muu,http://pasironkainen.omasivu.fi,-0.0626088892,0.3788708319,1.2445258038,Nationalistikonservatiivit
Markus  Runtti,02 Uudenmaan vaalipiiri,337,Itsenäisyyspuolue,43,psykologi,korkeakoulututkinto ,https://www.facebook.com/#!/groups/323693967838656/,0.0374340615,1.4576244583,0.5876376291,Nationalistikonservatiivit
Jouni Peltoniemi,10 Vaasan vaalipiiri,114,Itsenäisyyspuolue,32,Turvallisuusalan vastaava hoitaja,ammattitutkinto ,http://jounipeltoniemi.blogspot.fi/,0.0500159693,0.7337121464,1.3508341927,Nationalistikonservatiivit
Gleb Simanov,06 Hämeen vaalipiiri,101,Itsenäisyyspuolue,27,Linja-autonkuljettaja,ammattitutkinto ,http://www.gleb.fi,0.088629448,2.2051141715,-0.1083127067,Nationalistikonservatiivit
Veijo Kare,06 Hämeen vaalipiiri,97,Itsenäisyyspuolue,63,opettaja,korkeakoulututkinto ,,0.1025663725,0.7626798304,-0.2543648816,Konservatiivit
tero ahtola,06 Hämeen vaalipiiri,94,Itsenäisyyspuolue,38,Putkiasentaja,ammattitutkinto ,https://www.facebook.com/ahtola,0.262079941,1.6472405249,-0.0440697084,Nationalistikonservatiivit
Aarno Kaikko,08 Kaakkois-Suomen vaalipiiri,125,Itsenäisyyspuolue,74,merkantti & metsuri & k-auton kuljettaja,joku muu,,0.2736882859,0.8109780916,-1.0629619426,Konservatiivit
Esa Pokka,13 Lapin vaalipiiri,97,Itsenäisyyspuolue,39,Maarakennuskoneen kuljettaja,ammattitutkinto ,,0.3036924061,0.8644243103,0.5007106065,Nationalistikonservatiivit
Kirsi Holmsten,01 Helsingin vaalipiiri,182,Itsenäisyyspuolue,55,markkinointipäällikkö,ammattitutkinto ,,0.3287602929,0.8480973984,0.0373249513,Nationalistikonservatiivit
Mikko Saari,07 Pirkanmaan vaalipiiri,70,Itsenäisyyspuolue,51,Lennonjohtaja ( eläkkeellä ),korkeakoulututkinto ,https://www.facebook.com/mikko.saari.77,0.3905566925,0.6781468879,0.7862907939,Nationalistikonservatiivit
Janne Tervonen,07 Pirkanmaan vaalipiiri,76,Itsenäisyyspuolue,42,Aseseppä,joku muu,http://www.facebook.com/JanneEduskuntaan,0.3974921302,0.858737213,0.4879985498,Nationalistikonservatiivit
Mauno Ruuskanen,09 Savo-Karjalan vaalipiiri,107,Itsenäisyyspuolue,67,Teknikko,ammattitutkinto ,http://www.seniory.fi,0.4739168908,1.4859186547,-0.0339810369,Konservatiivit
Mikko Antero Vapa,11 Keski-Suomen vaalipiiri,125,Itsenäisyyspuolue,37,Verikuvaaja,korkeakoulututkinto ,http://www.vapaa.info/,0.5141117548,0.3374579064,0.9417252815,Nationalistikonservatiivit
Petri Kaivanto,02 Uudenmaan vaalipiiri,343,Itsenäisyyspuolue,46,musiikki- ja media-alan free lance -yrittäjä,ylioppilas ,http://www.petrikaivanto.fi,0.5169723275,1.465098102,1.263141696,Nationalistikonservatiivit
Marko Vapa,13 Lapin vaalipiiri,101,Itsenäisyyspuolue,37,Toimitusjohtaja,,http://www.vapaa.info,1.028892865,0.1893585407,1.1159352293,Nationalistikonservatiivit
Pentti Tolvanen,09 Savo-Karjalan vaalipiiri,103,Itsenäisyyspuolue,66,tekn. joht.,ylioppilas ,,1.2323822037,1.0589162146,0.0908886708,Markkinaliberaalit
Jaana Laitinen-Pesola,04 Satakunnan vaalipiiri,96,Kansallinen Kokoomus,56,toiminnanjohtaja,korkeakoulututkinto ,http://www.laitinen-pesola.fi,0.0287592327,-0.4775304752,-0.7407527526,Konservatiivit
Pertti Salolainen,01 Helsingin vaalipiiri,62,Kansallinen Kokoomus,74,kansanedustaja,korkeakoulututkinto ,http://www.perttisalolainen.fi,0.5901514187,0.5168585616,-0.2586446838,Nationalistikonservatiivit
Maarita Mannelin,09 Savo-Karjalan vaalipiiri,114,Kansallinen Kokoomus,47,maakuntasuunnittelija,korkeakoulututkinto ,http://www.maaritamannelin.fi,0.5989378891,-0.4711484273,-0.19511156,Konservatiivit
Marjo Pakka,11 Keski-Suomen vaalipiiri,40,Kansallinen Kokoomus,35,Historian ja yhteiskuntaopin aineopettaja,korkeakoulututkinto ,http://www.marjopakka.fi,0.6357545494,0.0692498966,0.1005585357,Konservatiivit
Bjarne Kallis,10 Vaasan vaalipiiri,96,Kansallinen Kokoomus,69,valtiotieteiden maisteri pol.mag.,korkeakoulututkinto ,http://bjarnekallis.fi,0.6437327058,-0.4706277151,-1.4932074852,Konservatiivit
Matti Helin,07 Pirkanmaan vaalipiiri,99,Kansallinen Kokoomus,46,valtiotieteiden tohtori & johtaja,,,0.6613679672,-0.2289175293,-1.2363434023,Konservatiivit
Mari Kaunistola,04 Satakunnan vaalipiiri,93,Kansallinen Kokoomus,35,ylikonstaapeli & viestintäpäällikkö,korkeakoulututkinto ,http://www.marikaunistola.com,0.6803716079,-0.1876253593,-0.7597466139,Konservatiivit
Juha Suonperä,11 Keski-Suomen vaalipiiri,43,Kansallinen Kokoomus,56,eversti evp.,korkeakoulututkinto ,http://www.juhasuonpera.fi,0.7149099059,0.1626852432,-0.5846671233,Konservatiivit
Anne Knaster,02 Uudenmaan vaalipiiri,304,Kansallinen Kokoomus,56,Toiminnanjohtaja Lastenklinikoiden Kummit ry,korkeakoulututkinto ,http://www.anneknaster.fi,0.7333138365,0.0779485308,-0.5556010973,Konservatiivit
Tiina Suutari,12 Oulun vaalipiiri,111,Kansallinen Kokoomus,45,ryhmäpäällikkö,korkeakoulututkinto ,http://www.tiinasuutari.fi,0.7402480514,0.4229403483,-0.5527768279,Konservatiivit
Pirkko Jartti,07 Pirkanmaan vaalipiiri,100,Kansallinen Kokoomus,55,Työterveyshuollon & hallinnon ja liikennelääketieteen erikoislääkäri,korkeakoulututkinto ,http://www.pirkkojartti.fi,0.7583871216,0.4800441304,-0.1973217367,Konservatiivit
Raija Lummi,13 Lapin vaalipiiri,71,Kansallinen Kokoomus,53,opettaja & lehtori,korkeakoulututkinto ,http://raijalummi.blogspot.fi/,0.7965837512,-0.9327572475,-0.1628091589,Liberaalit
Jukka Savolainen,09 Savo-Karjalan vaalipiiri,122,Kansallinen Kokoomus,49,ravintola- ja matkailuyrittäjä,joku muu,http://www.jukkasavolainen.fi,0.798030927,-0.3015083513,0.2101350882,Konservatiivit
Pekka Niiranen,09 Savo-Karjalan vaalipiiri,116,Kansallinen Kokoomus,51,Toimittaja,korkeakoulututkinto ,http://www.pekkaniiranen.fi,0.7988268848,0.0747749158,-0.5545372098,Konservatiivit
Sakari Pääkkö,09 Savo-Karjalan vaalipiiri,118,Kansallinen Kokoomus,20,opiskelija,ylioppilas ,http://www.sakaripaakko.com,0.8629497678,-0.539932323,-0.203858187,Konservatiivit
Tarja Mäki-Punto-Ristanen,03 Varsinais-Suomen vaalipiiri,24,Kansallinen Kokoomus,42,järjestösihteeri,ylioppilas ,http://www.maki-punto.com/,0.8638888818,-0.3831388926,-1.1987829946,Konservatiivit
Teija Larikka,12 Oulun vaalipiiri,103,Kansallinen Kokoomus,47,Tuoteryhmäpäällikkö,korkeakoulututkinto ,http://www.teijalarikka.fi,0.8738785031,0.3113651397,-0.675491012,Konservatiivit
Anna-Liisa  Lämsä,13 Lapin vaalipiiri,72,Kansallinen Kokoomus,52,Tutkija & tietokirjailija,korkeakoulututkinto ,http://www.anna-liisalamsa.com,0.8972048947,0.2411389699,-0.4071190767,Konservatiivit
Sari Raassina,09 Savo-Karjalan vaalipiiri,119,Kansallinen Kokoomus,51,Hankejohtaja,korkeakoulututkinto ,http://www.sariraassina.fi,0.9028460223,-0.9359086988,-0.8678736455,Konservatiivit
Jouni Markkanen,07 Pirkanmaan vaalipiiri,109,Kansallinen Kokoomus,28,kauppatieteiden kandidaatti & opiskelija,korkeakoulututkinto ,http://www.jounimarkkanen.fi,0.9076435777,-0.4752651728,-0.1427843604,Konservatiivit
Jari Larikka,08 Kaakkois-Suomen vaalipiiri,28,Kansallinen Kokoomus,50,Paloesimies,ylioppilas ,http://www.jarilarikka.fi,0.9116935672,-0.5114215976,-0.50369344,Markkinaliberaalit
Paula Risikko,10 Vaasan vaalipiiri,105,Kansallinen Kokoomus,54,kansanedustaja & ministeri,korkeakoulututkinto ,http://www.paularisikko.fi,0.9323921081,-0.084149878,-0.725285738,Konservatiivit
Annamaija Manninen,11 Keski-Suomen vaalipiiri,39,Kansallinen Kokoomus,53,Yrittäjä,korkeakoulututkinto ,http://www.annamaijaeduskuntaan.fi,0.9396863048,0.0116015706,-0.4194581559,Konservatiivit
Anitta Orpana,02 Uudenmaan vaalipiiri,317,Kansallinen Kokoomus,61,Tietotekniikan lehtori,korkeakoulututkinto ,http://www.anitta.orpana.fi,0.9578777059,0.0647933555,-0.4280747905,Konservatiivit
Seppo Parkkila,07 Pirkanmaan vaalipiiri,112,Kansallinen Kokoomus,48,Professori,korkeakoulututkinto ,http://seppoparkkila.fi,0.9590822078,-0.2742262719,-1.265402797,Konservatiivit
Leena Väänänen,12 Oulun vaalipiiri,113,Kansallinen Kokoomus,46,Diplomi-insinööri & eMBA,korkeakoulututkinto ,http://www.leenavaananen.fi,0.991090943,-0.1596665952,-0.8613455226,Markkinaliberaalit
Pertti Hemmilä,03 Varsinais-Suomen vaalipiiri,21,Kansallinen Kokoomus,59,kansanedustaja & yrittäjä & maanviljelijä ja poliisi,ammattitutkinto ,http://www.rohkeastitekoihin.fi,1.0107879424,0.4646772664,-1.0293301666,Konservatiivit
Raija Vahasalo,02 Uudenmaan vaalipiiri,324,Kansallinen Kokoomus,53,kansanedustaja & rehtori,korkeakoulututkinto ,http://www.vahasalo.fi,1.0131923197,-0.0322906832,-0.7867687236,Konservatiivit
Outi Mäkelä,02 Uudenmaan vaalipiiri,313,Kansallinen Kokoomus,40,Kansanedustaja,korkeakoulututkinto ,http://www.outimakela.com,1.0211203986,-0.0643955019,-0.579147524,Markkinaliberaalit
Sami Pikkuaho,12 Oulun vaalipiiri,107,Kansallinen Kokoomus,47,Yrittäjä,joku muu,http://www.samipikkuaho.fi,1.0285762157,0.6762363252,-1.5069520644,Konservatiivit
Pauli Kiuru,07 Pirkanmaan vaalipiiri,103,Kansallinen Kokoomus,52,Kansanedustaja,korkeakoulututkinto ,http://www.paulikiuru.fi,1.0467943658,0.41673783,-0.5371307296,Konservatiivit
Juuso Lahtinen,11 Keski-Suomen vaalipiiri,38,Kansallinen Kokoomus,25,opiskelija & yrittäjä,korkeakoulututkinto ,http://www.juusolahtinen.fi,1.0580862956,0.4981710563,-0.3684145036,Konservatiivit
Nea  Lehmussaari,07 Pirkanmaan vaalipiiri,107,Kansallinen Kokoomus,20,Opiskelija & yrittäjä,ammattitutkinto ,http://nealehmussaari.fi,1.0805985847,0.259378302,0.0126708238,Markkinaliberaalit
Asko Männistö,12 Oulun vaalipiiri,105,Kansallinen Kokoomus,57,Toimitusjohtaja,ammattitutkinto ,http://www.askomannisto.fi,1.0831931704,-0.1146907183,-0.3903183658,Konservatiivit
Lotta Ahola,11 Keski-Suomen vaalipiiri,33,Kansallinen Kokoomus,43,sairaanhoitaja,korkeakoulututkinto ,http://www.lottaahola.fi/,1.0897841412,-0.0388468822,-0.760813996,Konservatiivit
Petteri  Orpo,03 Varsinais-Suomen vaalipiiri,27,Kansallinen Kokoomus,45,Maa- ja metsätalousministeri,korkeakoulututkinto ,http://www.orpo.fi,1.0945677096,-0.4282250141,-0.4415821837,Markkinaliberaalit
Jukka Kopra,08 Kaakkois-Suomen vaalipiiri,26,Kansallinen Kokoomus,48,Yrittäjä & toimitusjohtaja,ylioppilas ,http://www.jukkakopra.fi,1.112440972,0.4832427181,-0.9254266111,Konservatiivit
