name,district,party,age,www,education,segment,oik,imp,lib,vih
Pertti Haverinen,Varsinais-Suomi,SKP,70,,Kansakoulu,Vihervasemmisto,-1.527499818,-0.191989487,-0.233721093,0.548952735
Eira Kejonen,Varsinais-Suomi,SKP,65,,teknillinen opisto,Vihervasemmisto,-1.370646386,-0.027411144,0.33732513,1.539221609
Kaija Kiessling,Varsinais-Suomi,SKP,68,http://wwwkaijakiesslinginsivut.blogspot.com,ylempi amm.tutk + yliopisto-opintoja,Vihervasemmisto,-1.226456836,-0.469278105,0.282682748,1.01226854
Kalle Niskanen,Varsinais-Suomi,SKP,25,,,Vihervasemmisto,-1.562440682,0.102089003,0.831812714,1.367041618
Matti Sanderson,Varsinais-Suomi,SKP,23,,,Vihervasemmisto,-1.554368649,-0.377918783,0.595974794,1.493132752
Li Andersson,Varsinais-Suomi,Vasemmistoliitto,27,http://www.liandersson.fi,Valtiotieteiden kandidaatti,Vihervasemmisto,-1.572090203,-0.662486988,0.480852588,1.453871563
Lauri Aronen,Varsinais-Suomi,Vasemmistoliitto,28,http://www,Ammattikoulu,Vihervasemmisto,-1.311549927,-0.807587372,0.639003446,1.41684109
Julius Karlsson,Varsinais-Suomi,Vasemmistoliitto,35,https://pahaihminen.wordpress.com/,Peruskoulu,Viherliberaalit,-0.872294918,-0.976680358,0.872419411,1.423456186
Sade Kondelin,Varsinais-Suomi,Vasemmistoliitto,29,http://www.sadekondelin.fi,Ylempi korkeakoulututkinto,Vihervasemmisto,-1.415452121,-0.952892876,0.372843661,1.557970332
Annika Lapintie,Varsinais-Suomi,Vasemmistoliitto,60,http://www.annikalapintie.net,Yliopisto,Vihervasemmisto,-1.614117472,-0.722643639,-0.327233514,1.099884604
Jaakko Lindfors,Varsinais-Suomi,Vasemmistoliitto,27,http://www.youtube.com/user/JaakkoLindfors,Filosofian maisteri & musiikin maisteri,Vihervasemmisto,-1.723514617,-0.570258152,-0.407317544,1.320013743
Teemu Luoma-Aho,Varsinais-Suomi,Vasemmistoliitto,34,http://ehdokas.vasemmisto.fi/teemuluomaaho/,alempi korkeakoulu tutkinto,Demarit,-1.567796172,-0.022841595,0.454383831,-0.547788263
Tuukka Pääkkönen,Varsinais-Suomi,Vasemmistoliitto,29,http://ehdokas.vasemmisto.fi/tuukkapaakkonen,Lukio,Demarit,-1.393013047,-0.167023266,0.181237171,0.148638103
