vaalipiiri;id;sukunimi;etunimi;puolue;ikä;sukupuoli;Ammatti;Koulutus;Talousoikeistolaisuus;Nationalismikonservatiivisuus;Arvoliberaalius;Segmentit
07 Pirkanmaan vaalipiiri;5286;LydÃ©n;Erik;Vasemmistoliitto;35;M;Ensihoitaja;ammattitutkinto;-1,28130353144685;-,982148882060758;,858940340400571;3
11 Keski-Suomen vaalipiiri;4482;Makkonen;Marja Leena;Vasemmistoliitto;54;F;Toimistosihteeri;ammattitutkinto;-1,57394741860552;-,881603113132405;,226799068149513;3
01 Helsingin vaalipiiri;4661;Malin;Petra;Vasemmistoliitto;34;F;sosiaalityöntekijä;korkeakoulututkinto;-1,31224207847637;-1,43388030561529;,738945358818181;3
04 Satakunnan vaalipiiri;4898;Manninen;Riku;Vasemmistoliitto;26;M; ;ylioppilas; ; ; ; 
12 Oulun vaalipiiri;4185;Matero;Taina;Vasemmistoliitto;55;F;Sosiaaliohjaaja;korkeakoulututkinto;-1,24573765129052;-1,32800764773426;-,0807169845425826;3
09 Savo-Karjalan vaalipiiri;5216;Matikainen;Matti;Vasemmistoliitto;68;M;kunnanjohtaja;korkeakoulututkinto;-,15625302323707;,286719924882321;,437297719358604;2
10 Vaasan vaalipiiri;4184;Meriläinen;Anton;Vasemmistoliitto;33;M;Liikeapulainen;peruskoulu; ; ; ; 
08 Kaakkois-Suomen vaalipiiri;4852;Mielonen;Joona;Vasemmistoliitto;29;M;apulaisohjaaja;korkeakoulututkinto;-1,33252507620231;-1,04740022188939;1,11135180460122;3
11 Keski-Suomen vaalipiiri;5670;Minkkinen;Katja;Vasemmistoliitto;39;F;Projektityöntekijä;korkeakoulututkinto; ; ; ; 
01 Helsingin vaalipiiri;5436;Mithiku;Hanna;Vasemmistoliitto;32;F;kansainvälisen työn sihteeri;korkeakoulututkinto; ; ; ; 
01 Helsingin vaalipiiri;5415;Modig;Silvia;Vasemmistoliitto;38;F;Kansanedustaja;ylioppilas; ; ; ; 
02 Uudenmaan vaalipiiri;5387;Moisala;Aarni;Vasemmistoliitto;58;M;Liiketoimintaosaamisen yliopettaja, tuottaja;korkeakoulututkinto; ; ; ; 
13 Lapin vaalipiiri;6126;Moisanen;Sari;Vasemmistoliitto;35;F;Insinööri AMK, kone- ja tuotantotekniikka;korkeakoulututkinto;-1,63040881942349;-,895394421579671;,221704159280986;3
06 Hämeen vaalipiiri;5966;Munnukka;Heidi;Vasemmistoliitto;34;F;Lähihoitaja / Yöhoitaja;ammattitutkinto;-1,33430987830708;-,875223058368869;,791456742989907;3
01 Helsingin vaalipiiri;5401;Mustafa;Binar;Vasemmistoliitto;31;M; ; ; ; ; ; 
13 Lapin vaalipiiri;4850;Mustajärvi;Markus;Vasemmistoliitto;51;M;kansanedustaja;korkeakoulututkinto; ; ; ; 
