vaalipiiri;id;sukunimi;etunimi;puolue;ikä;sukupuoli;Ammatti;Koulutus;Talousoikeistolaisuus;Nationalismikonservatiivisuus;Arvoliberaalius;Segmentit
13 Lapin vaalipiiri;5473;Salonen;Tarmo;Perussuomalaiset;62;M;Sähköteknikko; ;-,346293411648764;,923401835353021;-,471085125432842;2
04 Satakunnan vaalipiiri;4264;Salonen;Tomi;Perussuomalaiset;40;M;Sähkötöiden palveluohjaaja;ammattitutkinto; ; ; ; 
02 Uudenmaan vaalipiiri;5842;Saukkola;Ville;Perussuomalaiset;45;M;poliisi;ammattitutkinto;-,441181745453268;1,1219687874992;-,788459849538881;2
07 Pirkanmaan vaalipiiri;4313;Savio;Sami;Perussuomalaiset;39;M;Diplomi-insinööri;korkeakoulututkinto; ; ; ; 
06 Hämeen vaalipiiri;5967;Selenius;Heidi;Perussuomalaiset;45;F;Logistiikan esimies;ammattitutkinto;-,229721379740436;,104668706358886;-,123834686200983;5
02 Uudenmaan vaalipiiri;4324;Silvander;Iiro;Perussuomalaiset;42;M;Perussuomalaisten eduskuntaryhmän asiantuntija;korkeakoulututkinto;-,0990478154989131;1,47746706200286;-1,06574656513721;2
07 Pirkanmaan vaalipiiri;5820;Silvennoinen;Seppo;Perussuomalaiset;55;M;kansainvälisten projektien päällikkö, teknikko, ammattijohtaja;ammattitutkinto;-,379454111928081;1,82141100288787;,632636234556372;2
02 Uudenmaan vaalipiiri;5893;Simonen;Juha;Perussuomalaiset;0;M; ; ; ; ; ; 
12 Oulun vaalipiiri;5845;Simula;Jenna;Perussuomalaiset;25;F;Kansanedustajan avustaja;korkeakoulututkinto;,789630705760263;1,79042891879762;-,0514403279722938;2
02 Uudenmaan vaalipiiri;5305;Sinisalo;Pekka M.;Perussuomalaiset;45;M;Perussuomalaisten Uudenmaanpiiriin pj;korkeakoulututkinto;,269263825900383;-,0307628904001252;-,210545541284471;1
08 Kaakkois-Suomen vaalipiiri;4998;Sivenius;Päivi;Perussuomalaiset;56;F;välinehuoltaja;ammattitutkinto; ; ; ; 
12 Oulun vaalipiiri;4664;Snellman;Anne;Perussuomalaiset;47;F;Filosofian tohtori;korkeakoulututkinto;,00465507762029498;1,1931058841648;,568071150274683;2
02 Uudenmaan vaalipiiri;5857;Soini;Timo;Perussuomalaiset;52;M;Puheenjohtaja;korkeakoulututkinto;,152562700502483;1,19206744221165;-,875531818485345;2
01 Helsingin vaalipiiri;5175;Sorja;Marika;Perussuomalaiset;30;F;Lastenhoitaja;ammattitutkinto;,719210086022183;1,87914220015138;-,341990221649579;2
06 Hämeen vaalipiiri;4893;Soukola;Ismo;Perussuomalaiset;54;M;kansanedustaja;ammattitutkinto;,582202501512848;1,83454646748317;-,121761278031205;2
11 Keski-Suomen vaalipiiri;5614;Suominen;Meiris;Perussuomalaiset;45;F;avainasiakaspäällikkö, Skandinavian vienti;ammattitutkinto;,985401683057391;1,67343221232806;,226281338868734;2
13 Lapin vaalipiiri;5724;Södervall;Ari;Perussuomalaiset;57;M;Liikenneopettaja;ammattitutkinto;,105420911120967;,876970693068672;-,720580026174906;1
03 Varsinais-Suomen vaalipiiri;4197;Tamminen;Heikki;Perussuomalaiset;32;M;Kansanedustajan ja europarlamentaarikon avustaja; ;,777617987066602;1,91263705099852;,506316821718956;2
02 Uudenmaan vaalipiiri;4369;Tapiolinna;Maiju;Perussuomalaiset;49;F;sairaanhoitaja;ammattitutkinto;-,32323761586581;1,75928015273922;-,410904928890284;2
03 Varsinais-Suomen vaalipiiri;4218;Tarke;Kimmo;Perussuomalaiset;54;M;pienyrittäjä;ylioppilas; ; ; ; 
13 Lapin vaalipiiri;5851;Tauriainen;Harri;Perussuomalaiset;39;M;prosessityöntekijä / talonrakentaja;ammattitutkinto;-,200388738932789;1,43098480162075;,296570960307944;2
03 Varsinais-Suomen vaalipiiri;5370;Tavio;Ville;Perussuomalaiset;30;M;Lakimies;korkeakoulututkinto; ; ; ; 
01 Helsingin vaalipiiri;5182;Terho;Sampo;Perussuomalaiset;37;M;Euroopan parlamentin jäsen;korkeakoulututkinto;1,01410277277024;1,14337679682159;-,349646971577984;1
11 Keski-Suomen vaalipiiri;5295;Tiainen;Marko;Perussuomalaiset;41;M;Metallimies;ammattitutkinto;-,472455979715096;1,17456240762419;,854589297614284;2
10 Vaasan vaalipiiri;4804;Tolppanen;Maria;Perussuomalaiset;62;F;Kansanedustaja, tv-toimittaja;joku muu;,234865047399395;2,05869954950829;-,635284316003943;2
13 Lapin vaalipiiri;5374;Torvinen;Matti;Perussuomalaiset;58;M;johtava lakimies, varatuomari;korkeakoulututkinto; ; ; ; 
07 Pirkanmaan vaalipiiri;4797;Tukia;Timo;Perussuomalaiset;52;M;Maatalousyrittäjä;korkeakoulututkinto;,311926137473403;1,01208538172072;,0536892671042668;2
06 Hämeen vaalipiiri;4521;Tuomi;Maarit;Perussuomalaiset;47;F;lähihoitaja, yo-merkonomi;ylioppilas;-,0511731938839363;1,80397972482168;-,76872702446055;2
06 Hämeen vaalipiiri;4179;Tuominen;Eeva-Maria;Perussuomalaiset;50;F;esittelijä eduskunnan oikeusasiamiehen kansliassa;korkeakoulututkinto;,0648234235706866;1,12194950111727;-,505450419749748;1
08 Kaakkois-Suomen vaalipiiri;4851;Turunen;Kaj;Perussuomalaiset;54;M;kansanedustaja;ammattitutkinto;-,102311934651892;1,73800728612615;,248477637749662;2
12 Oulun vaalipiiri;6116;Tykkyläinen;Kari;Perussuomalaiset;0;M; ; ; ; ; ; 
12 Oulun vaalipiiri;5834;Tynkkynen;Sebastian;Perussuomalaiset;26;M;Luokanopettajaopiskelija;ylioppilas; ; ; ; 
07 Pirkanmaan vaalipiiri;5330;Törhönen;Marko;Perussuomalaiset;38;M;Osastopäällikkö;ammattitutkinto;-,591120673976231;2,0031252769724;,534619082890536;2
02 Uudenmaan vaalipiiri;5204;Vahtera;Pauli;Perussuomalaiset;65;M;KHT-tilintarkastaja;korkeakoulututkinto;1,71153262507879;1,66133381651368;-,219499846751876;2
01 Helsingin vaalipiiri;4585;Valpas;Antti;Perussuomalaiset;36;M;Eduskuntasihteeri;ylioppilas;,0747873430198928;1,36281878968636;,42470420140533;2
10 Vaasan vaalipiiri;4794;Valtamäki;Erkki;Perussuomalaiset;64;M;Toimittaja, tietokirjailija;ammattitutkinto; ; ; ; 
11 Keski-Suomen vaalipiiri;4389;Vanhala;Mauno;Perussuomalaiset;65;M;Yleislääketieteen professori;korkeakoulututkinto;-,0479656612264785;,395106682698886;-,26186205884281;1
08 Kaakkois-Suomen vaalipiiri;6022;Vihavainen;Satu;Perussuomalaiset;0;F; ; ; ; ; ; 
12 Oulun vaalipiiri;4742;Viitala;Matti;Perussuomalaiset;65;M;Yrittäjä;peruskoulu; ; ; ; 
08 Kaakkois-Suomen vaalipiiri;4948;Vilen;Jenni;Perussuomalaiset;24;F;Myyjä;korkeakoulututkinto; ; ; ; 
08 Kaakkois-Suomen vaalipiiri;5076;Voutilainen;Emmi;Perussuomalaiset;27;F;Lastensuojelutyöntekijä;korkeakoulututkinto;,267704947946075;1,81417077859245;-,35386264863032;2
07 Pirkanmaan vaalipiiri;4504;Vuorenpää;Harri;Perussuomalaiset;32;M;Talousasiantuntija, toimitusjohtaja;korkeakoulututkinto;,618304952367335;1,3303437125087;,00883948151116295;1
12 Oulun vaalipiiri;5856;Vähämäki;Ville;Perussuomalaiset;35;M;Kansanedustaja;korkeakoulututkinto; ; ; ; 
02 Uudenmaan vaalipiiri;5894;Wallenius;Jarkko;Perussuomalaiset;47;M;yrittäjä, maanviljelijä, valtiotieteen opiskelija;ylioppilas;,800796762101763;,928385156986008;-,0785166981530469;2
10 Vaasan vaalipiiri;5259;Westerholm;Micael;Perussuomalaiset;37;M;Kokki;ammattitutkinto; ; ; ; 
09 Savo-Karjalan vaalipiiri;4201;Wihonen;Jussi;Perussuomalaiset;51;M;Yrittäjä, kauppias;korkeakoulututkinto;1,00905154210731;1,54460354121042;-,0715585692545303;2
02 Uudenmaan vaalipiiri;4297;Wikstedt;Mikko;Perussuomalaiset;51;M;insinööri;korkeakoulututkinto;,0565325669167394;,950753468686977;-,00130950792979388;2
12 Oulun vaalipiiri;4292;Aaltonen;Henri;Piraattipuolue;37;M;puuseppä;ammattitutkinto; ; ; ; 
01 Helsingin vaalipiiri;4668;Ahola;Amos;Piraattipuolue;32;M;Toimitusjohtaja, Senior Manager;korkeakoulututkinto; ; ; ; 
01 Helsingin vaalipiiri;4713;Anttila;Timo;Piraattipuolue;33;M;Web Developer;ammattitutkinto;-,141766154794023;,490691112737962;1,10544881853018;2
01 Helsingin vaalipiiri;5109;Apajalahti;Ahto;Piraattipuolue;26;M;Tutkimusavustaja;korkeakoulututkinto; ; ; ; 
08 Kaakkois-Suomen vaalipiiri;4842;Aromaa;Mika;Piraattipuolue;28;M; ;joku muu; ; ; ; 
12 Oulun vaalipiiri;4848;Autio;Ari-Matti;Piraattipuolue;28;M; ;ylioppilas;,296871008383733;-,256067796361239;1,59088090618307;4
11 Keski-Suomen vaalipiiri;5280;Brander;Tommi;Piraattipuolue;28;M;Tohtorikoulutettava;korkeakoulututkinto; ; ; ; 
11 Keski-Suomen vaalipiiri;4736;Eskelinen;Matti;Piraattipuolue;26;M; ;korkeakoulututkinto; ; ; ; 
01 Helsingin vaalipiiri;4730;Grön;Pipsa;Piraattipuolue;62;F;toimistosihteeri;ylioppilas;,538787555209113;-,829945135757287;1,59653387770268;4
06 Hämeen vaalipiiri;4920;Hannukainen;Tony;Piraattipuolue;24;M;Puuseppä;ammattitutkinto; ; ; ; 
13 Lapin vaalipiiri;4841;Harjunharja;Hansi;Piraattipuolue;31;M;Esiintyvä taiteilija, showmies, itsensänolaaja;ylioppilas;-,232613880759257;,141660814123465;1,54836087974418;4
01 Helsingin vaalipiiri;4347;Hautakangas;Ville;Piraattipuolue;37;M;Tietotekniikkasuunnittelija;ylioppilas;,143997679990078;-,43946531487712;1,69581565548461;4
06 Hämeen vaalipiiri;5968;Heikkilä;Olli;Piraattipuolue;44;M;tutkija;korkeakoulututkinto;,983841156685031;1,810837482791;,763775533434216;2
03 Varsinais-Suomen vaalipiiri;4538;Hellman;Timo;Piraattipuolue;30;M;Freelancer-kirjoittaja;ammattitutkinto; ; ; ; 
02 Uudenmaan vaalipiiri;4251;Hentilä;Kai;Piraattipuolue;53;M;myyntipäällikkö;korkeakoulututkinto;1,82550985900142;,81975643550321;,233852070703154;6
11 Keski-Suomen vaalipiiri;6186;Hirvimäki;Petri;Piraattipuolue;48;M;"""Uuden ajan sekatyömies""";korkeakoulututkinto; ; ; ; 
11 Keski-Suomen vaalipiiri;4767;Hämynen;Miika;Piraattipuolue;29;M;asiakasneuvoja;korkeakoulututkinto; ; ; ; 
11 Keski-Suomen vaalipiiri;5602;Hämäläinen;Jyri;Piraattipuolue;26;M;Fysiikan opiskelija;korkeakoulututkinto;1,40932457499341;-,472799419428988;1,28245430309844;6
07 Pirkanmaan vaalipiiri;5667;Isomaa;Mika;Piraattipuolue;33;M;Peliohjelmoija, ohjelmistotuottaja, opettaja;ylioppilas;,779645294660538;-,543985613553368;1,54031317060496;4
01 Helsingin vaalipiiri;4870;Jarva;Karelia;Piraattipuolue;33;F;SEO Project Manager;korkeakoulututkinto;1,00195124670427;,00806137414465447;,785605982473473;6
10 Vaasan vaalipiiri;4350;Kaarlela;Mikko;Piraattipuolue;30;M;Opiskelija / Työntekijä;korkeakoulututkinto;,334004247902024;1,44751134371944;,895802933610373;2
03 Varsinais-Suomen vaalipiiri;5477;Kaartinen;Juha;Piraattipuolue;29;M;Luonnonvaratuottaja; ;-,585639895564003;-,991092326082877;1,73781836827253;4
07 Pirkanmaan vaalipiiri;5445;Kallioniemi;petri;Piraattipuolue;43;M; ;ammattitutkinto; ; ; ; 
02 Uudenmaan vaalipiiri;5124;Kantola;Roni;Piraattipuolue;27;M; ;ylioppilas;,276467320905066;-,945180744296934;1,47772037141302;4
02 Uudenmaan vaalipiiri;5910;Karlsson;Jouni;Piraattipuolue;40;M;Järjestelmäasiantuntija;ammattitutkinto; ; ; ; 
02 Uudenmaan vaalipiiri;5062;Karvinen;Tapani;Piraattipuolue;33;M; ; ; ; ; ; 
12 Oulun vaalipiiri;4843;Kassinen;Otso;Piraattipuolue;32;M;tutkija;korkeakoulututkinto; ; ; ; 
02 Uudenmaan vaalipiiri;5904;Keronen;Jiri;Piraattipuolue;30;M;Nörtti; ; ; ; ; 
12 Oulun vaalipiiri;5849;Kinnunen;Hermanni;Piraattipuolue;31;M; ;ammattitutkinto;,538945002397579;,103359883440719;1,54752729758862;4
07 Pirkanmaan vaalipiiri;4501;Kivistö;Harri;Piraattipuolue;34;M;Opiskelija;korkeakoulututkinto;-,454205498038551;-,651400431412473;1,61003798078595;4
12 Oulun vaalipiiri;5166;Kontiokari;Veera;Piraattipuolue;25;F;Graafinen suunnittelija; ;,822050107809608;-,191438637403297;1,35083021061722;4
02 Uudenmaan vaalipiiri;4779;Kopakkala;Olli;Piraattipuolue;26;M;Markkinointivastaava;korkeakoulututkinto; ; ; ; 
09 Savo-Karjalan vaalipiiri;5523;Kukkonen;Mikko;Piraattipuolue;33;M; ;korkeakoulututkinto;,244991368550639;,0355517634560535;,265015864144008;1
03 Varsinais-Suomen vaalipiiri;5688;Kustonen;Johan;Piraattipuolue;0;M;Näyttelijä;ylioppilas;-,219210596144606;,0957690083669049;1,44596770477304;4
01 Helsingin vaalipiiri;4682;Kähärä;Juhani;Piraattipuolue;25;M;Diplomi-insinööri. Jatko-opiskelija.;korkeakoulututkinto;1,63715454476942;,686431200809411;,934572765451405;6
02 Uudenmaan vaalipiiri;5442;Kämäräinen;Harri;Piraattipuolue;54;M;Toimitusjohtaja yrittäjä;joku muu;1,68486742930948;,345197632168944;,300591847524604;6
03 Varsinais-Suomen vaalipiiri;5652;Kärkkäinen;Lasse;Piraattipuolue;31;M; ;korkeakoulututkinto;1,69531854286534;-,258070088157275;,918379713583961;6
02 Uudenmaan vaalipiiri;5911;Laaksonen;Joona;Piraattipuolue;0;M; ; ; ; ; ; 
11 Keski-Suomen vaalipiiri;5715;Lampila;Arto;Piraattipuolue;27;M;Kulttuurituottaja;korkeakoulututkinto; ; ; ; 
02 Uudenmaan vaalipiiri;4593;Letonsaari;Mika;Piraattipuolue;40;M;Ammattikorkeakoulun opettaja (matematiikka, fysiikka);korkeakoulututkinto; ; ; ; 
07 Pirkanmaan vaalipiiri;5162;Lindroos;Teemu;Piraattipuolue;32;M;Maanviljelysteknikko; ;-,718225982727376;-1,28199997536796;,91464529771957;4
02 Uudenmaan vaalipiiri;4252;Lohilahti;Janne;Piraattipuolue;25;M;Turvatarkastaja; ; ; ; ; 
07 Pirkanmaan vaalipiiri;5435;Luoma-Nirva;Jarno;Piraattipuolue;38;M;specialist;korkeakoulututkinto; ; ; ; 
06 Hämeen vaalipiiri;5164;Lyijynen;Joni;Piraattipuolue;36;M;IT-tukihenkilö;ammattitutkinto;-,10773315174989;1,42190709382872;,737125402285147;2
06 Hämeen vaalipiiri;4919;Löfqvist;Tiia;Piraattipuolue;43;F;Opettaja;korkeakoulututkinto; ; ; ; 
02 Uudenmaan vaalipiiri;5833;Lönnberg;Peter;Piraattipuolue;32;M;Arkeologi;korkeakoulututkinto;-1,12854687169992;-1,4068703515594;1,54511771491297;3
07 Pirkanmaan vaalipiiri;5272;Malinen;Tiina;Piraattipuolue;31;F;Kotiäiti;korkeakoulututkinto;,879368548604023;-,142401424617684;1,58343897662252;4
13 Lapin vaalipiiri;5257;Markkanen;Olli;Piraattipuolue;27;M;Datanomi;ammattitutkinto;,646198828841185;-,207242802064963;1,80306911173178;4
10 Vaasan vaalipiiri;5011;Marttala;Lassi;Piraattipuolue;34;M;Ohjelmistoalan Yrittäjä;ammattitutkinto; ; ; ; 
01 Helsingin vaalipiiri;5810;Miettinen;Essi;Piraattipuolue;22;F;Sosionomiopiskelija;korkeakoulututkinto; ; ; ; 
10 Vaasan vaalipiiri;4502;Miettinen;Marika;Piraattipuolue;26;F;Opiskelija;ylioppilas; ; ; ; 
02 Uudenmaan vaalipiiri;6220;Mikkola;Jaana;Piraattipuolue;27;F;Radiojukka, keikkasihteeri;peruskoulu; ; ; ; 
09 Savo-Karjalan vaalipiiri;5035;Mustonen;Pekka;Piraattipuolue;33;M;ICT-asiantuntija;ylioppilas;-,886531387424652;,249514123187754;1,29076023487842;3
03 Varsinais-Suomen vaalipiiri;5680;Mäki;Sebastian;Piraattipuolue;32;M;Ohjelmistosuunnittelija;joku muu;,190054035793068;,220690172835349;1,47852534410656;4
01 Helsingin vaalipiiri;5872;Mäkinen;Joonas;Piraattipuolue;0;M; ; ; ; ; ; 
07 Pirkanmaan vaalipiiri;4827;Nerve;Mikael;Piraattipuolue;41;M;sekatyömies;ylioppilas;1,54154180915533;,238726388234141;,768409203289783;6
02 Uudenmaan vaalipiiri;5428;Niemi;Sari;Piraattipuolue;27;F; ; ; ; ; ; 
01 Helsingin vaalipiiri;4846;Oinonen;Juha;Piraattipuolue;44;M;senior service coordinator;korkeakoulututkinto;1,50913132653152;,107107270774239;,692866990131418;6
13 Lapin vaalipiiri;5163;Oksala;Aki;Piraattipuolue;37;M;Tietokoneasentaja; ; ; ; ; 
07 Pirkanmaan vaalipiiri;6009;Oksanen;Juha;Piraattipuolue;0;M; ; ; ; ; ; 
02 Uudenmaan vaalipiiri;5671;Paalijärvi;Janne;Piraattipuolue;33;M;Ohjelmistotestaaja; ;1,76426690507905;,106688484332393;1,05785320959256;6
04 Satakunnan vaalipiiri;4573;Palmroos;Juho;Piraattipuolue;24;M;Bioanalytiikan opiskelija;ylioppilas;,229291818894214;-,334871443284126;1,34051790670272;4
02 Uudenmaan vaalipiiri;4680;Parkkinen;Tuure;Piraattipuolue;29;M;kirjailija; ; ; ; ; 
12 Oulun vaalipiiri;5846;Pekkarinen;Lauri;Piraattipuolue;30;M; ;korkeakoulututkinto;,999049301637628;,304856267899736;1,49395935953671;4
08 Kaakkois-Suomen vaalipiiri;4811;Peltola;Timo;Piraattipuolue;25;M; ;ylioppilas; ; ; ; 
01 Helsingin vaalipiiri;5503;Pennanen;Petrus;Piraattipuolue;42;M;Toimitusjohtaja;korkeakoulututkinto; ; ; ; 
10 Vaasan vaalipiiri;4298;Perälä;Tapio;Piraattipuolue;32;M;"Product Support Engineer; Työsuojeluvaltuutettu";korkeakoulututkinto;-,183980071698208;-,0295874355125482;1,18579703531494;4
09 Savo-Karjalan vaalipiiri;5530;Pietarinen;Mikko;Piraattipuolue;22;M;Rakennusalan yrittäjä;peruskoulu;-,425391057208476;,108138715571631;1,74216247924126;4
01 Helsingin vaalipiiri;4764;Plommer;Raoul;Piraattipuolue;36;M;Kirjanpitäjä;korkeakoulututkinto;-,184054018556023;-,581960900149188;1,82786170672856;4
01 Helsingin vaalipiiri;5739;Pulliainen;Miro;Piraattipuolue;18;M;lukiolainen;peruskoulu; ; ; ; 
11 Keski-Suomen vaalipiiri;5098;Purojärvi;Jonna;Piraattipuolue;26;F; ;ylioppilas; ; ; ; 
03 Varsinais-Suomen vaalipiiri;5746;Pyrrö;Milka;Piraattipuolue;20;F; ; ; ; ; ; 
12 Oulun vaalipiiri;4497;Raitala;Juuso;Piraattipuolue;30;M;Ohjelmistosuunnittelija;korkeakoulututkinto;,14664839796885;,545048151214401;1,54557799734659;4
11 Keski-Suomen vaalipiiri;5396;Rantakangas;Eetu;Piraattipuolue;26;M; ;ylioppilas;,294890019319371;-,514288394417285;1,63959485530896;4
07 Pirkanmaan vaalipiiri;5161;Rehuttu;Hannele;Piraattipuolue;34;F; ;ammattitutkinto; ; ; ; 
07 Pirkanmaan vaalipiiri;5439;Ristimäki;Juha;Piraattipuolue;36;M;Ohjelmistosuunnittelija;korkeakoulututkinto;1,56764463935268;-,821267085671171;1,0210088490982;6
12 Oulun vaalipiiri;4267;Ronkainen;Jari;Piraattipuolue;29;M; ;ylioppilas; ; ; ; 
13 Lapin vaalipiiri;5053;Ryynänen;Ari;Piraattipuolue;45;M;Tietokoneasentaja;ammattitutkinto;-,0890561655676261;,0904027620252418;,717592612892553;4
02 Uudenmaan vaalipiiri;4261;Ryynänen;Tuomo;Piraattipuolue;43;M;Lehtori;korkeakoulututkinto;-,0410240080292663;-,196646471980018;,151535247890164;1
07 Pirkanmaan vaalipiiri;5687;Räsänen;Joni;Piraattipuolue;26;M;tutkimusapulainen;korkeakoulututkinto;-,719658671269911;-,242804781897336;1,65608027544611;3
09 Savo-Karjalan vaalipiiri;5352;Saikkonen;Lasse;Piraattipuolue;48;M;Rakennusinsinööri (AMK);korkeakoulututkinto;,592174719726863;-,644887212172683;,947525688332092;4
01 Helsingin vaalipiiri;5871;Salmela;Mira;Piraattipuolue;0;F; ; ; ; ; ; 
07 Pirkanmaan vaalipiiri;4755;Salo;Juho;Piraattipuolue;28;M;Insinööri;korkeakoulututkinto; ; ; ; 
04 Satakunnan vaalipiiri;5426;Salomäki;Toni;Piraattipuolue;35;M;Digitoija;korkeakoulututkinto;-,197245121634006;-,145667420038214;1,45586201805372;4
02 Uudenmaan vaalipiiri;4724;Sammallahti;Tere;Piraattipuolue;33;M;Energia- ja ympäristökonsultti;korkeakoulututkinto;1,64082934855055;,407020209940366;,930926920415891;6
06 Hämeen vaalipiiri;5786;Savolainen;Jari;Piraattipuolue;36;M;Sovelluskehittäjä;ylioppilas;,129332713431344;-,31425169220846;1,6062384642781;4
02 Uudenmaan vaalipiiri;6226;Sid;Sebastian;Piraattipuolue;32;M; ; ;-,670913094571419;-1,27784453209818;1,08354446154405;4
08 Kaakkois-Suomen vaalipiiri;4705;Simola;Antti;Piraattipuolue;31;M;Ratapihatyöntekijä;ammattitutkinto; ; ; ; 
08 Kaakkois-Suomen vaalipiiri;6021;Simola;Tomi;Piraattipuolue;0;M; ; ; ; ; ; 
01 Helsingin vaalipiiri;6233;Somero;Jani;Piraattipuolue;28;M;Palveluneuvoja;peruskoulu; ; ; ; 
07 Pirkanmaan vaalipiiri;5989;Soppela;Olli;Piraattipuolue;0; ; ; ; ; ; ; 
07 Pirkanmaan vaalipiiri;4947;Stenbäck;Mark;Piraattipuolue;38;M;Ohjelmistosuunnittelija;korkeakoulututkinto;,306586591837776;-,425848899181085;1,14941904533679;4
06 Hämeen vaalipiiri;5767;Talikka;Aku;Piraattipuolue;32;M;matematiikan, fysiikan ja tietotekniikan opettaja;korkeakoulututkinto;,952355939645716;,127450600716175;,469591024836513;6
07 Pirkanmaan vaalipiiri;5292;Tasanen;Markus;Piraattipuolue;31;M;Logistiikka-asiantuntija; ;,34980881951664;,985819569619413;,429551704932231;2
02 Uudenmaan vaalipiiri;5828;Tiainen;Tuomas;Piraattipuolue;22;M;yrittäjä;ylioppilas;1,0185815484993;,0118631782940856;1,46428240548607;4
03 Varsinais-Suomen vaalipiiri;5060;Tonta;Toivo;Piraattipuolue;27;M; ;ylioppilas; ; ; ; 
03 Varsinais-Suomen vaalipiiri;4665;Uotila;Janne;Piraattipuolue;32;M;Tuotantotyöntekijä;ammattitutkinto; ; ; ; 
03 Varsinais-Suomen vaalipiiri;5531;Vesti;Jetro;Piraattipuolue;27;M;Tohtorikoulutettava;korkeakoulututkinto;-,00803839536735781;,492958986417404;1,8737740067602;4
10 Vaasan vaalipiiri;5254;Viita-aho;Miko;Piraattipuolue;19;M; ; ; ; ; ; 
01 Helsingin vaalipiiri;5815;Virtanen;Juha;Piraattipuolue;44;M;Matemaattisten aineiden lehtori;korkeakoulututkinto; ; ; ; 
02 Uudenmaan vaalipiiri;5909;Voutilainen;Samu;Piraattipuolue;0;M; ; ; ; ; ; 
02 Uudenmaan vaalipiiri;4722;Värne;Eena;Piraattipuolue;28;F;Opiskelija;ylioppilas;1,4314736761518;-,645611215184571;,816674093600598;6
08 Kaakkois-Suomen vaalipiiri;4439;Väyrynen;Mika;Piraattipuolue;47;M;Matkailu- ja ravintola-alan yrittäjä.;ammattitutkinto;1,07498266698533;-,542202527711763;1,18030964600078;4
12 Oulun vaalipiiri;5120;Wallin;Olli-Pekka;Piraattipuolue;48;M;Peli-suunnittelija;ammattitutkinto;-,245807391236502;,265055270510197;,602193670584392;2
07 Pirkanmaan vaalipiiri;5988;Yltävä;Jarno;Piraattipuolue;26;M;tietoliikenneasentaja; ;-,488133079423014;-,37893494857014;1,58061121859785;4
07 Pirkanmaan vaalipiiri;5691;Lisma;Sakari;Pirkanmaan Sitoutumattomat yhteislista;56;M;Vartija;ammattitutkinto;-,505997658646778;,734956011501538;-,235655184511656;2
07 Pirkanmaan vaalipiiri;5718;Rantanen;Risto;Pirkanmaan Sitoutumattomat yhteislista;73;M;suunnittelija;ammattitutkinto;-,972017986395253;-,00517199264995964;-,0711624601178624;3
02 Uudenmaan vaalipiiri;5897;Ahonen;Linda;Suomen Keskusta;0;F; ; ; ; ; ; 
03 Varsinais-Suomen vaalipiiri;5303;Ala-Nissilä;Olavi;Suomen Keskusta;65;M;KHT-tilintarkastaja, Senior Advisor, Partner;korkeakoulututkinto;,219030000546848;,219548850219126;,0122704993557842;1
07 Pirkanmaan vaalipiiri;4528;Alatalo;Mikko;Suomen Keskusta;63;M;kansanedustaja;korkeakoulututkinto;-,251896152956882;,753515154221587;-,48647632295388;1
09 Savo-Karjalan vaalipiiri;5345;Albert;Rauli-Jan;Suomen Keskusta;39;M;maatalousyrittäjä;korkeakoulututkinto;,632810224350244;-,328025824753823;-,238345203741148;1
13 Lapin vaalipiiri;5196;Ansala;Liisa;Suomen Keskusta;29;F;Toimitusjohtaja;korkeakoulututkinto;,281848066071998;,510633643348911;1,18620472338257;2
06 Hämeen vaalipiiri;5353;Anttila;Sirkka-Liisa;Suomen Keskusta;71;F;kansanedustaja;korkeakoulututkinto;,369240944120246;,365455822185171;-,850173909928158;1
02 Uudenmaan vaalipiiri;5542;Berner;Anne;Suomen Keskusta;51;F;yrittäjä;korkeakoulututkinto; ; ; ; 
02 Uudenmaan vaalipiiri;5440;Edry;Tarja;Suomen Keskusta;47;F;rehtori;korkeakoulututkinto;,536109443947068;-,258280921794193;-,98987472434928;1
06 Hämeen vaalipiiri;5247;Eerola;Tapio;Suomen Keskusta;57;M;päätoimittaja;korkeakoulututkinto;,470513070908462;-,211215204601714;,36838062042632;1
03 Varsinais-Suomen vaalipiiri;5380;Eeva;Raija;Suomen Keskusta;53;F;Diakoni;korkeakoulututkinto; ; ; ; 
01 Helsingin vaalipiiri;4433;Eskelinen;Riku;Suomen Keskusta;36;M;ekoenergiavastaava;korkeakoulututkinto;-,787444798925605;-1,52901498328054;,680335764402235;3
02 Uudenmaan vaalipiiri;5490;Frantsi-Lankia;Marjut;Suomen Keskusta;50;F;Ylilääkäri;korkeakoulututkinto; ; ; ; 
01 Helsingin vaalipiiri;5304;Grimm;Karl-Mikael;Suomen Keskusta;22;M;Puhelehdentoimittaja;ylioppilas; ; ; ; 
07 Pirkanmaan vaalipiiri;5244;Hakanen;Pertti;Suomen Keskusta;45;M;Maatalousyrittäjä;ammattitutkinto;,924545940286159;,227468088846393;-,385430930911899;1
07 Pirkanmaan vaalipiiri;6003;Hakanen;Teuvo;Suomen Keskusta;0;M; ; ;1,43445038791435;,214115841298592;-,614374085100348;6
07 Pirkanmaan vaalipiiri;5553;Hanhilahti;Timo;Suomen Keskusta;60;M;asiakkuuspäällikkö;korkeakoulututkinto;,73239183689623;,128986312029908;-,125604058221499;1
10 Vaasan vaalipiiri;4962;Hautala;Lasse;Suomen Keskusta;52;M;kansanedustaja;ammattitutkinto;,329825951557736;,711505847542705;-,429053850016459;1
